z_actual,z_predicted,distance,velocity
0.7756866,0.4782331,3018.2832944524935,143370.69
0.6563041,0.49796045,2977.5015758068457,149284.8
0.17273,0.14841828,496.4688446277512,44494.684
0.04958897,0.14773479,383.43698402879767,44289.777
0.1075899,0.1411887,343.57218748033256,42327.31
0.1118924,0.15121864,466.5197132377872,45334.207
1.017677,0.15068972,482.2164261085973,45175.645
0.6420126,0.4717219,2303.9868710962264,141418.67
0.08160174,0.14044887,352.5299342602473,42105.51
0.597887,0.45509052,2077.2271962848213,136432.72
0.400453,0.33948725,1126.6784820709959,101775.72
0.07057208,0.13477334,288.5213794971738,40404.035
0.352383,0.26383293,1074.2070541675657,79095.125
0.0821794,0.12767139,262.5608683351956,38274.92
0.101529,0.15201144,428.17765565531425,45571.883
0.08408105,0.15226465,540.8066210537835,45647.797
0.170104,0.14674453,383.9971490484281,43992.906
0.09736972,0.15558778,517.3804330606338,46644.043
0.7291693,0.4735542,2501.8311755421378,141967.98
0.5554034,0.40971547,2583.128434146245,122829.62
0.07794146,0.14781156,568.38682161833,44312.793
0.4492062,0.49140036,1267.021545339917,147318.12
0.0002378761,0.43074822,2618.9909638066456,129135.07
0.5788851,0.5362676,2644.9167075941064,160768.98
0.4193295,0.38164455,971.9233142581945,114414.164
0.1396264,0.1372804,377.83135867717044,41155.633
0.2332882,0.35332525,1254.3652091701679,105924.25
0.3541127,0.34569165,938.339502994842,103635.75
0.2240688,0.15203041,507.0070519875925,45577.57
0.7294369,0.31949797,2338.22338684859,95783.086
0.5897763,0.44660747,2324.3204325116208,133889.56
0.530468,0.4002828,2087.439993940933,120001.766
0.6854169,0.48181188,1534.6311172091364,144443.58
0.1387181,0.14242288,296.34527013131617,42697.31
1.0918,0.13389975,341.71653974112735,40142.137
0.05537476,0.15436462,492.6108804425624,46277.348
0.3377227,0.3197283,1012.0593931171877,95852.14
0.5428151,0.462587,2943.553949657435,138680.1
0.2926812,0.14273201,994.3608112665987,42789.98
0.7734563,0.46587873,2692.861393154823,139666.94
0.0320456,0.10966679,207.5209753825741,32877.277
0.2247202,0.14952931,476.9666348619849,44827.76
0.08393086,0.15859006,545.7905350711101,47544.105
0.1692589,0.20762192,1609.8595935367366,62243.49
0.5398239,0.46989375,2137.302530748391,140870.61
0.4493273,0.4243464,2688.1035845731403,127215.85
0.08585291,0.14667448,449.48168472913403,43971.906
0.2355667,0.11401047,1060.4495203386348,34179.48
0.2613679,0.17943926,603.951410669007,53794.54
0.4213379,0.21559817,1876.877811058725,64634.707
0.08193589,0.1223328,236.7805363609501,36674.45
0.5069488,0.476914,1750.5237202769872,142975.22
0.6065747,0.43874365,1836.7920880247332,131532.05
0.5191776,0.46872592,1917.909012660331,140520.5
0.2605519,0.2675264,911.5237735080194,80202.4
0.6681811,0.46817273,2075.8023534548615,140354.66
0.4859816,0.44964194,1564.9843539064436,134799.27
0.2682365,0.15574314,552.5708873212835,46690.62
0.1097577,0.14644188,407.6730476149085,43902.17
0.4098706,0.36630428,954.2540239907202,109815.266
0.6774749,0.49385303,2329.2494413539166,148053.42
0.3773794,0.37103418,1182.3770732664382,111233.25
0.1447121,0.13442007,356.965299076549,40298.125
0.6801307,0.47094697,2715.9264209860644,141186.36
0.0836834,0.14730045,469.65397238644096,44159.566
0.055442,0.15260646,459.2614577693332,45750.266
0.08399552,0.11192679,201.89613262727323,33554.81
0.1396852,0.14358957,361.7428867642183,43047.07
0.4732858,0.45927453,1936.2792883599022,137687.05
0.6131484,0.50201297,2155.1326179217667,150499.7
0.1360712,0.105054066,399.80479641740556,31494.418
0.1509493,0.1567132,539.1777970944418,46981.438
0.2726629,0.20267394,582.6959505932199,60760.12
0.4593117,0.39601576,1004.3428681827701,118722.55
0.5038164,0.47750312,1753.79973451954,143151.84
0.08141904,0.14756368,447.9257195340432,44238.48
-0.0002003586,0.4520809,1381.4653614899523,135530.45
0.09429195,0.15198372,559.1650262010793,45563.574
0.2856375,0.4482504,1777.7553733910324,134382.1
0.219958,0.18666303,559.5746091027214,55960.17
0.1289759,0.12769961,522.6416304220776,38283.383
0.2551171,0.13401385,589.880446080292,40176.344
0.1445339,0.15386681,515.2903388805662,46128.113
0.4401068,0.13481054,2569.1768495489778,40415.184
0.6326933,0.5263762,2480.1160335484906,157803.61
0.3597277,0.3440249,1015.168188109971,103136.07
0.07432845,0.117767274,333.615330964372,35305.742
0.6678603,0.454758,2086.142640046475,136333.02
0.1067022,0.14726281,404.6560146861317,44148.28
0.5539211,0.44281816,1758.8467475206103,132753.55
0.1876075,0.1829217,675.4543454404255,54838.547
0.1050607,0.1532971,551.3761797194826,45957.316
0.08697884,0.14609283,478.9233371310414,43797.53
0.640906,0.48825127,2699.1187989245755,146374.05
0.5541728,0.44245696,1615.161671284487,132645.27
0.5027147,0.46787894,1617.230785716637,140266.58
0.4480295,0.3567333,1144.4531003452819,106945.95
0.4656852,0.44881183,1673.2776106463232,134550.4
0.03234835,0.12777698,506.470319923383,38306.58
0.08507867,0.14043778,325.18162725530914,42102.188
0.5575233,0.5157111,1944.9121974767681,154606.31
0.05272808,0.13545763,489.92770597158966,40609.18
0.001500039,0.35198736,1435.939029519428,105523.164
0.1149076,0.15262382,472.5263156667376,45755.473
0.04249464,0.15157574,491.38738161901904,45441.266
0.4693797,0.47859776,1742.4085760772325,143480.0
0.1648705,0.15105428,421.80332608534786,45284.934
0.1078283,0.14242665,354.8052194474253,42698.438
0.3203083,0.26752687,692.439764501254,80202.54
0.1547539,0.35088956,1275.1345112636598,105194.05
0.5782149,0.48122847,1614.9608552213376,144268.67
0.4360472,0.37906373,1219.365771810663,113640.45
0.5217177,0.4903614,2075.649408319869,147006.66
0.4192448,0.41603875,1754.6237357498114,124725.28
0.5192119,0.14893825,1756.9686000491733,44650.566
0.747438,0.43920124,2262.903322044341,131669.22
0.4703802,0.14013453,2119.180748503168,42011.277
0.1186944,0.1523687,464.9390244211549,45678.99
0.07545102,0.06516902,154.41660505877564,19537.182
0.4738204,0.42448705,1817.6740204476139,127258.02
0.04763122,0.1498099,500.05065444571886,44911.88
0.4763869,0.43755352,1645.060975286181,131175.25
0.1671632,0.13613966,294.0952431105899,40813.645
0.09673838,0.1484291,478.6565431298703,44497.926
0.433724,0.15744407,844.3723434533183,47200.547
0.04997522,0.03824611,122.07142097032724,11465.8955
0.0001044557,0.4332959,1869.7950253852907,129898.85
0.6771187,0.48109514,2100.303228733146,144228.7
0.1190611,0.15213405,437.475765746054,45608.64
0.5192883,0.4666214,1498.3939126041796,139889.58
0.5110817,0.44309598,2260.5910300384758,132836.84
0.4499487,0.14985672,1788.0596382839844,44925.914
0.4702813,0.22604747,3640.9104719906063,67767.33
0.006975475,0.0948281,272.38801824902066,28428.75
0.1084233,0.06807825,186.3717143023701,20409.346
0.5067815,0.4510731,2023.5689178671792,135228.33
0.4724213,0.44315642,1856.5728706769792,132854.95
0.1224157,0.16107345,546.9529889790223,48288.605
0.1057341,0.1530574,577.7793287457969,45885.453
0.1334382,0.15117171,535.3132584879544,45320.14
0.07733578,0.10616964,237.0696726383678,31828.86
0.5066759,0.49454355,1250.3396399947956,148260.44
0.3517878,0.42159802,1169.833354805504,126391.914
0.04768648,0.14593762,365.10518451450514,43751.0
0.1423816,0.13191202,375.3029689091707,39546.23
0.02569302,0.123110875,232.4545225095462,36907.715
0.5642874,0.4601748,2598.699123833068,137956.94
0.08636355,0.14989612,475.49942926889753,44937.727
0.0244775,0.13675246,293.9097544954766,40997.355
0.5687879,0.51094764,2148.4734934813378,153178.25
0.5137253,0.15604694,1459.0561314900197,46781.7
0.1480802,0.1519981,476.61971211151854,45567.887
0.7788454,0.4353819,2729.040620567105,130524.21
0.1031448,0.14663847,371.8501833814456,43961.11
0.08940142,0.14957987,420.33543178632436,44842.918
0.06984673,0.14381692,443.6249873788977,43115.23
0.0996795,0.13856964,301.4685416109789,41542.133
0.5633937,0.45690727,2065.0377728163057,136977.36
0.5599527,0.46598107,2416.8071661099793,139697.61
0.4689475,0.44995278,1916.8052931912416,134892.45
0.3423605,0.33220744,1104.0176079485918,99593.29
0.121077,0.14412908,380.72728337989963,43208.812
0.5089031,0.49021047,2207.4353851327305,146961.4
0.08642442,0.110375196,181.39445203795668,33089.652
0.1780877,0.14678466,459.4603086603631,44004.938
0.1523384,0.15952943,545.047058257375,47825.723
0.4374194,0.38986748,1916.143366414383,116879.336
0.2605711,0.24485582,676.9771341047393,73405.93
0.08792177,0.14781255,433.9403150926539,44313.086
0.1736672,0.14290291,585.9816279923978,42841.215
0.4956272,0.35692495,1456.1026759664906,107003.414
0.223914,0.41556114,1713.1287360147624,124582.1
0.7883698,0.37745315,2116.683868479276,113157.61
0.5678073,0.42085558,1620.0932031305351,126169.336
0.07562031,0.13937046,299.7367541346808,41782.215
0.4031609,0.3407477,964.4683935203522,102153.6
0.2516587,0.1828874,613.9089996457398,54828.266
0.1124879,0.14108513,640.2948371230392,42296.26
0.08884999,0.14802712,343.9362882027981,44377.418
0.447748,0.29161096,1748.3484787959067,87422.766
0.1086441,0.16333233,489.1341667531708,48965.8
0.5900866,0.15279853,2166.845767217781,45807.848
0.2859719,0.28798172,840.4966755565557,86334.75
0.2233999,0.41645014,1818.519657613568,124848.62
0.1209111,0.14456637,376.0607432029717,43339.91
0.1124453,0.15713884,546.628158777879,47109.04
0.5007503,0.46212608,1952.8550089713758,138541.92
0.5611891,0.49828845,2007.640739956279,149383.12
0.5692189,0.45771515,1934.790739253972,137219.56
0.0831333,0.21545535,776.5796395875094,64591.89
0.08268686,0.14462395,336.1073424691594,43357.17
0.05591223,0.1266022,307.1736795184157,37954.387
0.05348853,0.15241918,560.9833867152976,45694.12
0.08178464,0.14811826,489.89160809406513,44404.74
0.31528,0.16876501,577.8751244833775,50594.48
0.1065556,0.15363851,528.255466598115,46059.668
0.08435389,0.15275395,465.4638956795805,45794.484
0.2875635,0.15241627,815.5676671153296,45693.25
0.07435275,0.13826859,315.3740824571048,41451.883
0.1612099,0.1582286,561.3555231430707,47435.746
0.08769272,0.15000644,498.93962925843414,44970.8
0.6648378,0.48286885,2181.534070259667,144760.44
0.0001121323,0.24247906,1257.0947133801274,72693.4
0.08322639,0.1457549,446.68564920966145,43696.223
0.6642092,0.5224449,1457.1021533271762,156625.05
0.08148253,0.14627169,383.362827912745,43851.152
0.1120148,0.13368602,300.42080118943227,40078.062
-0.0002248255,0.254189,429.45335508834387,76203.95
0.3692911,0.39735776,1065.2069712066968,119124.87
0.1382874,0.15049301,456.64425689392664,45116.67
0.3678472,0.29799795,959.6392441556734,89337.54
0.02124054,0.05441895,162.21536944804345,16314.392
0.2330416,0.17944936,569.8230329801513,53797.566
0.05439847,0.14600766,393.97984046390604,43771.996
0.2081211,0.14472063,416.0657819037705,43386.156
0.08940969,0.1387762,391.45514005411485,41604.06
0.09148846,0.15237534,475.94196574113306,45680.98
-0.0007767853,0.28340864,402.8988242309002,84963.77
0.1740178,0.15208317,537.514271920753,45593.39
0.4822945,0.44343132,1828.3696347973555,132937.38
0.0002430782,0.3695673,253.35180338974612,110793.49
0.5143065,0.409656,1197.093299694732,122811.78
0.4774528,0.46220618,2020.3378490694065,138565.94
0.4224373,0.44734597,2257.833955006847,134110.95
0.4130972,0.12452685,2085.018918905804,37332.21
0.5634151,0.48141772,2957.1271592570024,144325.4
0.2260185,0.14995942,422.47206742729685,44956.703
0.1847364,0.14664538,513.6248175503465,43963.18
0.1084637,0.13221894,248.1087038876318,39638.242
0.1375907,0.14567418,446.15729662896337,43672.023
0.3870077,0.33165738,944.3348123650316,99428.38
0.3057214,0.25020048,903.2126260885185,75008.22
0.563275,0.48369914,1843.9536485608053,145009.36
0.5741406,0.48051846,2300.774206790433,144055.81
0.5297141,0.31260812,2064.087006716658,93717.56
0.08563361,0.13145891,1591.1385576029757,39410.39
0.4689045,0.4362942,1470.9367549143305,130797.71
0.0833808,0.12593839,261.6700395226558,37755.38
0.1103578,0.14494976,416.8060363868507,43454.848
0.206954,0.15269156,564.6638696007587,45775.777
0.01388197,0.100870915,229.64024418643865,30240.34
0.0002732364,0.33067048,398.83016667204635,99132.516
0.1854784,0.13402528,441.1944087543741,40179.77
0.1229224,0.14718252,406.4676625227137,44124.21
0.4994081,0.460482,1874.2607048479215,138049.03
0.2716944,0.20133999,616.1351703716502,60360.21
0.1478321,0.1516809,503.38468683481494,45472.793
0.3631843,0.20412558,1286.0622781352067,61195.312
0.1052835,0.13576324,278.1775001462193,40700.797
0.08327536,0.151265,463.29541261899135,45348.105
